category,sentence
Negative,Flawed somewhat absolutely very really fairly very design disappointed broke
Negative,Not very worth it and absolutely that awful somewhat unhappy
Negative,Low quality waste of but money awful somewhat stopped working but really unhappy
Negative,Damaged flawed design poor quite and after after avoid dissatisfied
Negative,Fairly quite unhappy horrible really absolutely really quite absolutely unreliable
Negative,Avoid very flawed but design after unhappy with poor damaged
Negative,Unhappy horrible avoid stopped while working somewhat and flawed design
Negative,Poor fairly really construction extremely quite absolutely very broke regret
Negative,Poor and construction broke after bad quite fairly unhappy avoid
Negative,Not while unreliable since worth it horrible but stopped working
Negative,Of waste somewhat which while money terrible stopped working frustrated
Negative,Stopped fairly disappointed working which which terrible absolutely terrible purchase
Negative,Stopped do working with not buy after while low quality
Negative,Worth not regret it since somewhat awful absolutely stopped working somewhat poor construction
Negative,Dissatisfied and awful while but terrible purchase defective flawed design
Negative,But not broke worth it really unhappy extremely unreliable bad
Negative,With avoid poor defective and that frustrated absolutely cheap materials
Negative,Purchase terrible that cheap materials absolutely poor and that fairly failed
Negative,After waste of money fairly awful but disappointed while defective unreliable
Negative,Purchase frustrated terrible stopped somewhat that working cheap quite materials
Negative,Terrible after purchase dissatisfied very absolutely low while quality awful
Negative,Poor extremely frustrated somewhat which extremely since cheap materials defective
Negative,Broke absolutely horrible with flawed after that design avoid regret
Negative,Regret somewhat damaged flawed absolutely very quite quite very design
Negative,Terrible unhappy extremely which and poor construction terrible purchase damaged
Negative,Very quite failed not really somewhat worth since it awful
Negative,Working stopped which bad waste of money after somewhat cheap materials really unhappy
Negative,Money waste of broke really unhappy but since awful extremely cheap materials
Negative,Fairly flawed quite absolutely absolutely extremely design quite failed awful
Negative,Waste and bad and of money very disappointed unreliable stopped working
Negative,Really somewhat really poor fairly disappointed flawed somewhat absolutely design
Negative,Unreliable not worth it quite horrible which and since defective really regret
Negative,Damaged terrible since purchase awful poor since construction absolutely unhappy
Negative,Damaged awful cheap with materials quite waste with and of money somewhat disappointed
Negative,Somewhat somewhat very fairly really regret flawed design extremely avoid
Negative,Unreliable but not worth it quite damaged very awful disappointed
Negative,Extremely very somewhat quite absolutely very somewhat terrible unhappy failed
Negative,It not worth while fairly failed frustrated poor cheap materials
Negative,Poor construction horrible absolutely waste of but money frustrated fairly defective
Negative,After awful avoid and failed extremely low since quality frustrated
Negative,Waste of money extremely bad dissatisfied quite and which poor construction
Negative,Quite purchase terrible after which unreliable awful absolutely broke regret
Negative,Cheap not materials worth it absolutely since unhappy absolutely awful absolutely damaged
Negative,Dissatisfied quite damaged that poor construction do after not buy
Negative,Defective unreliable somewhat horrible waste of but with money frustrated
Negative,Design flawed while which unhappy awful extremely with broke very not worth it
Negative,Dissatisfied poor with extremely absolutely construction really but absolutely damaged
Negative,Broke frustrated not quite after very absolutely with worth it
Negative,Terrible purchase low with quality dissatisfied but horrible with stopped working
Negative,Bad quite cheap while materials while extremely quite extremely defective
Negative,Unhappy working stopped quite fairly but but since extremely terrible
Negative,Really waste fairly of very money stopped and working unreliable
Negative,Stopped purchase terrible working and after low quality dissatisfied absolutely awful
Negative,Very avoid somewhat quite very fairly very horrible stopped working
Negative,Avoid after unreliable absolutely fairly awful absolutely extremely quite dissatisfied
Negative,Absolutely fairly bad somewhat defective absolutely really very avoid unhappy
Negative,Quality unhappy low very awful waste after which of that money broke
Negative,Cheap materials awful frustrated somewhat that since after terrible purchase
Negative,Waste of absolutely money extremely poor broke since poor construction
Negative,Quite awful regret flawed design waste which of money broke
Negative,Really extremely very extremely disappointed failed extremely very quite avoid
Negative,Not awful disappointed while that worth it fairly poor construction broke
Negative,Somewhat quite do not that buy regret very poor construction
Negative,Poor construction horrible really which frustrated absolutely not worth it
Negative,Horrible of waste while and money while very very damaged
Negative,Somewhat awful defective but poor construction but not worth it
Negative,Extremely avoid very really extremely low quality quite somewhat terrible
Negative,Quality somewhat low really regret absolutely with avoid stopped working
Negative,Horrible since dissatisfied cheap materials after damaged very terrible purchase
Negative,Fairly stopped avoid somewhat quite working quite fairly really unhappy
Negative,Dissatisfied very really really very quite avoid somewhat quite defective
Negative,Flawed broke design terrible not that worth with it extremely dissatisfied
Negative,Somewhat extremely fairly absolutely absolutely quite avoid very failed poor
Negative,Of waste money poor construction which horrible really defective frustrated
Negative,Since terrible avoid but very fairly unhappy with really failed
Negative,Absolutely design flawed which damaged awful quite somewhat somewhat unhappy
Negative,Damaged bad while frustrated flawed design waste of fairly money
Negative,Poor really construction really that which while terrible purchase dissatisfied
Negative,Low dissatisfied quality since after broke while not worth it
Negative,That waste broke of money quite dissatisfied poor flawed design
Negative,Cheap absolutely really materials while poor very waste of money
Negative,Stopped working very do while not but which buy awful
Negative,Regret since waste and of money low but quality failed terrible
Negative,Regret design flawed fairly while damaged which absolutely and not worth it
Negative,Horrible really extremely dissatisfied avoid defective very and flawed design
Negative,After not do buy but fairly stopped working low quality
Negative,Do terrible not buy quite frustrated fairly defective absolutely after with while poor construction
Negative,Stopped working terrible but which low quality really not worth it
Negative,Very very somewhat quite broke really fairly terrible flawed design
Negative,Stopped working awful not worth and it since fairly regret
Negative,Unreliable really failed and with terrible purchase frustrated absolutely poor
Negative,Damaged cheap terrible materials with quite after waste of money
Negative,Really very extremely absolutely absolutely fairly terrible somewhat disappointed damaged
Negative,Quite avoid regret very poor that quite fairly flawed design
Negative,Avoid regret while very terrible failed extremely cheap somewhat materials
Negative,Extremely poor very very quite very frustrated very quite failed
Negative,Regret flawed which design absolutely but not with worth it
Negative,Flawed design not and with worth it regret defective very terrible
Negative,Of unreliable waste money after dissatisfied absolutely and stopped working
